bin	CAPES_S11	CAPES_S21	CAPES_S7
SPAdesHybrid-CAPES_S21.29.fa	0.165966	1.71232	0.0
SPAdesHybrid-CAPES_S21.3.fa	33.4317	52.2315	0.199158
SPAdesHybrid-CAPES_S21.30.fa	0.0	5.8984	0.0
SPAdesHybrid-CAPES_S21.31.fa	2.634225	110.04700000000001	68.4956
SPAdesHybrid-CAPES_S21.32.fa	0.0	5.679130000000001	147.69299999999998
SPAdesHybrid-CAPES_S21.33.fa	0.0	28.8091	0.0
SPAdesHybrid-CAPES_S21.34.fa	32.131	91.9074	67.4332
SPAdesHybrid-CAPES_S21.35.fa	0.389411	2.05603	0.44688900000000004
SPAdesHybrid-CAPES_S21.36.fa	2.70886	28.93455	5.863664999999999
SPAdesHybrid-CAPES_S21.37.fa	6.5910150000000005	163.11649999999997	0.1426615
SPAdesHybrid-CAPES_S21.38.fa	24.1396	19.3099	0.0368034
SPAdesHybrid-CAPES_S21.39.fa	18.6887	19.3147	0.018008714999999998
SPAdesHybrid-CAPES_S21.4.fa	0.0283246	21.2005	1.5987
SPAdesHybrid-CAPES_S21.5.fa	21.0849	52.9133	0.169149
SPAdesHybrid-CAPES_S21.6.fa	6.20706	178.324	49.26685
SPAdesHybrid-CAPES_S21.7.fa	0.149126	41.7783	0.00934492
SPAdesHybrid-CAPES_S21.8.fa	0.785229	24.99135	0.08188865000000001
SPAdesHybrid-CAPES_S21.9.fa	8.43029	8.945765	0.0
SPAdes-CAPES_S11.1.fa	46.8905	0.11837049999999999	0.0
SPAdes-CAPES_S11.10.fa	52.35395	28.523000000000003	0.327375
SPAdes-CAPES_S11.11.fa	6.74298	0.0	0.0
SPAdes-CAPES_S11.12.fa	10.11685	0.0	0.0
SPAdes-CAPES_S11.13.fa	27.853250000000006	12.5985	0.0365449
SPAdes-CAPES_S11.14.fa	56.12395	21.12985	0.3699055
SPAdes-CAPES_S11.15.fa	52.9156	0.0189985	0.0214278
SPAdes-CAPES_S11.16.fa	13.5975	0.00469638	0.0
SPAdes-CAPES_S11.17.fa	37.4254	0.49823199999999995	0.8793479999999999
SPAdes-CAPES_S11.18.fa	32.419000000000004	0.0936784	0.0
SPAdes-CAPES_S11.19.fa	53.4982	22.6338	0.264384
SPAdes-CAPES_S11.2.fa	25.7931	12.705	0.0336995
SPAdes-CAPES_S11.20.fa	21.7675	0.0	0.0
SPAdes-CAPES_S11.21.fa	20.3779	0.0	0.0
SPAdes-CAPES_S11.22.fa	50.5805	30.14065	0.3022115
SPAdes-CAPES_S11.23.fa	51.1591	3.98714	99.0955
SPAdes-CAPES_S11.24.fa	26.23585	17.418599999999998	0.03804855
SPAdes-CAPES_S11.25.fa	14.4137	0.0	0.0
SPAdes-CAPES_S11.26.fa	17.278100000000002	0.014895400000000001	31.8107
SPAdes-CAPES_S11.27.fa	39.34465	74.93345	56.8423
SPAdes-CAPES_S11.28.fa	17.6897	0.0	0.03172285
SPAdes-CAPES_S11.29.fa	41.1371	64.9725	47.895
SPAdes-CAPES_S11.3.fa	38.93985	66.3112	34.03415
SPAdes-CAPES_S11.30.fa	12.0949	0.0	0.0
SPAdes-CAPES_S11.31.fa	7.284395	0.0	0.0
SPAdes-CAPES_S11.32.fa	11.2992	8.27396	0.0
SPAdes-CAPES_S11.33.fa	43.1117	14.5309	0.43239799999999995
SPAdes-CAPES_S11.34.fa	9.85973	0.0	0.0
SPAdes-CAPES_S11.35.fa	28.886999999999997	16.1367	0.034031900000000004
SPAdes-CAPES_S11.36.fa	27.5917	0.0	0.09258939999999999
SPAdes-CAPES_S11.37.fa	13.1605	8.02111	0.0
SPAdes-CAPES_S11.38.fa	38.9669	75.2489	58.045
SPAdes-CAPES_S11.39.fa	6.5674	0.0	0.0
SPAdes-CAPES_S11.4.fa	13.6299	184.981	53.8686
SPAdes-CAPES_S11.40.fa	18.3156	0.023496200000000002	28.3479
SPAdes-CAPES_S11.41.fa	6.822189999999999	0.0	0.0
SPAdes-CAPES_S11.42.fa	7.4706399999999995	0.0	0.0
SPAdes-CAPES_S11.43.fa	24.6386	0.0	0.00810898
SPAdes-CAPES_S11.44.fa	5.88232	0.0	0.0
SPAdes-CAPES_S11.45.fa	59.342	19.57855	0.3250395
SPAdes-CAPES_S11.46.fa	18.12555	0.0	0.0
SPAdes-CAPES_S11.47.fa	7.84997	0.0	0.0
SPAdes-CAPES_S11.48.fa	21.0733	0.0	0.0
SPAdes-CAPES_S11.49.fa	38.5603	79.4122	66.4568
SPAdes-CAPES_S11.5.fa	7.05847	0.0	0.0
SPAdes-CAPES_S11.6.fa	7.0655399999999995	0.0	0.0
SPAdes-CAPES_S11.7.fa	41.494	86.2856	68.5792
SPAdes-CAPES_S11.8.fa	16.2414	0.0	0.0
SPAdes-CAPES_S11.9.fa	10.4126	145.886	0.0353045
SPAdesHybrid-CAPES_S11.1.fa	13.54085	182.378	53.3642
SPAdesHybrid-CAPES_S11.10.fa	49.2895	30.1613	0.289103
SPAdesHybrid-CAPES_S11.11.fa	21.543000000000003	0.0	0.0
SPAdesHybrid-CAPES_S11.12.fa	50.3689	23.8301	1.12726
SPAdesHybrid-CAPES_S11.13.fa	10.0859	0.0	0.0
SPAdesHybrid-CAPES_S11.14.fa	4.41725	104.375	102.265
SPAdesHybrid-CAPES_S11.15.fa	11.6857	8.395145	0.0
