task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
540	d9/dfa97b	43b7643a-9498-42db-936d-e7333491cfa4	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdesHybrid-CAPES_S7)	COMPLETED	0	2021-07-30 00:55:34.956	59m 48s	2s	129.8%	123.4 MB	1.2 GB	28 MB	64.1 KB
538	75/a16941	7b39a033-7704-41d9-90e8-10368fac5113	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (MEGAHIT-CAPES_S21)	COMPLETED	0	2021-07-30 00:39:33.368	1h 17m 50s	7s	53.6%	124.2 MB	1.3 GB	28 MB	63.9 KB
539	0c/456118	868a4545-d367-4e1a-ac09-aaf4cc377f61	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdes-CAPES_S21)	COMPLETED	0	2021-07-30 00:48:14.717	1h 9m 8s	5s	63.8%	126.1 MB	1.3 GB	28 MB	63.5 KB
537	46/cd1f36	fbea5710-71f0-4695-a11a-4323c6a7b2ae	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdes-CAPES_S7)	COMPLETED	0	2021-07-30 00:32:12.365	1h 27m 1s	1m 2s	6.1%	117.5 MB	2.3 GB	28 MB	63.6 KB
541	79/e64ac7	ba1e3a31-1747-43fb-b6ed-2df8af14b774	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (MEGAHIT-CAPES_S11)	COMPLETED	0	2021-07-30 01:06:16.564	1h 2m 26s	2s	166.8%	120.8 MB	2.3 GB	28 MB	63.8 KB
542	f5/5a2e4b	e36736d5-961e-4a10-a052-0a4b8355e996	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdesHybrid-CAPES_S21)	COMPLETED	0	2021-07-30 01:20:28.331	1h 9m 55s	3s	122.7%	116.6 MB	1.2 GB	28 MB	63.9 KB
543	29/6a83f3	c9dddc97-456f-46b4-86d4-20e85c9af61b	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdes-CAPES_S11)	COMPLETED	0	2021-07-30 01:30:49.626	59m 33s	4s	114.8%	124.4 MB	2.4 GB	28 MB	63.8 KB
544	3d/87ce53	09b8733b-4e0e-4a44-8b7c-f5530591866b	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_PLOT (SPAdesHybrid-CAPES_S11)	COMPLETED	0	2021-07-30 01:43:26.438	57m 26s	3s	129.0%	109.1 MB	5.5 GB	28 MB	64.6 KB
546	de/15053c	c70cbdf5-8a06-4815-8e6e-34bd09805d5b	NFCORE_MAG:MAG:QUAST_BINS_SUMMARY	COMPLETED	0	2021-07-30 01:47:41.002	54m 12s	19ms	96.0%	0	0	169.2 KB	54.9 KB
545	b9/3ade62	846dcabc-b111-4591-8aa2-c8aa4fabbd3c	NFCORE_MAG:MAG:METABAT2_BINNING:MAG_DEPTHS_SUMMARY	COMPLETED	0	2021-07-30 01:43:26.610	58m 56s	11s	15.8%	38.8 MB	2.1 GB	7.9 MB	22.8 KB
547	66/c75fbd	aadaef53-0f40-4042-b278-5bc059bc5817	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:44.715	1h 2m 28s	5s	133.5%	147 MB	1.2 GB	38.7 MB	655.4 KB
551	00/5aaf07	56b700dc-19be-4e48-8636-0d63897f6495	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:45.276	1h 2m 28s	4.7s	224.4%	153.8 MB	5.6 GB	38.6 MB	567 KB
552	62/bdad69	010857df-d654-47a8-baf6-83906b58ed33	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:46.066	1h 2m 27s	4.9s	200.6%	149.9 MB	5.4 GB	38.8 MB	804.7 KB
560	93/3d0571	b927c6f9-def0-424b-8441-3f8b2434d8eb	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:47.998	1h 2m 26s	6.9s	90.3%	146.6 MB	1.2 GB	38.5 MB	349.3 KB
563	2e/9e9a5b	7eb77e38-5fce-4d5d-9d71-10e3192a428e	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:48.421	1h 2m 25s	4.8s	192.5%	155.8 MB	5.6 GB	38.6 MB	415.7 KB
550	5c/02f86e	6e2c861b-5061-4c6c-8f1d-64adcd45ddbc	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:45.354	1h 2m 58s	6.7s	155.8%	148.2 MB	4.4 GB	38.7 MB	634.6 KB
553	5b/59f9a6	ff579e07-8a2d-4454-9845-6bcd8c12b42c	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:46.244	1h 2m 57s	5.2s	130.0%	148.5 MB	1.2 GB	38.8 MB	705.2 KB
556	9b/8a5f47	54724ae4-208f-4f75-b63e-bb85f70f98fd	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:47.933	1h 2m 55s	7.6s	175.3%	156.8 MB	4.6 GB	38.9 MB	963.5 KB
564	cb/6a9576	4aee6071-19fe-417b-a66b-4086a69d5122	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:48.620	1h 2m 55s	6.4s	118.3%	147.2 MB	2.2 GB	38.6 MB	403.9 KB
548	91/ba7dcf	68fecc63-f4b7-46db-93f6-d28dcb1773d5	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:44.762	1h 3m 8s	7s	122.3%	157.9 MB	2.6 GB	38.7 MB	679 KB
554	fd/026ee7	70758686-2642-4a79-a10a-94d72b5dae2e	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:46.827	1h 3m 6s	7.4s	96.1%	148 MB	2.2 GB	38.7 MB	721 KB
561	80/977b3d	b90d2d21-3752-4222-aca9-646fe1700c92	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:48.155	1h 3m 5s	4.3s	195.5%	133.4 MB	5.4 GB	38.5 MB	320.3 KB
562	82/f36531	645c7332-cc6e-4c48-a31b-0c5af4c39d58	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:48.362	1h 3m 5s	4.4s	213.2%	106.7 MB	5.4 GB	38.6 MB	399.9 KB
555	a4/5440f5	213f106b-eaaa-4357-9368-adc683336038	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:47.150	1h 3m 16s	6.9s	131.7%	156.1 MB	2.6 GB	38.8 MB	783.9 KB
557	bc/569eb8	e2091b54-cbc4-4276-bd1a-904fa70197e4	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:47.281	1h 3m 16s	3.8s	246.5%	120.8 MB	2.2 GB	38.5 MB	264.8 KB
558	35/e99c81	5b6527e6-2d9d-44d6-9eab-c12d5b0a3d80	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdes-CAPES_S7)	COMPLETED	0	2021-07-30 01:51:47.406	1h 3m 16s	4.1s	188.1%	96 MB	2.2 GB	38.5 MB	228.2 KB
559	ed/5cd400	43aff425-ab48-44de-88d2-713f6b93bd34	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (MEGAHIT-CAPES_S21)	COMPLETED	0	2021-07-30 01:51:47.771	1h 3m 16s	4.2s	207.3%	90 MB	2.2 GB	38.5 MB	345.3 KB
565	c9/659558	51f888d6-89f5-4ce6-b779-13855cfd104b	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_PLOT (SPAdesHybrid-CAPES_S11)	COMPLETED	0	2021-07-30 01:51:48.969	1h 3m 54s	4.5s	180.5%	156.8 MB	2.6 GB	38.6 MB	556.3 KB
549	74/dbdb6a	ee2e61b8-ce4c-4de0-a01a-585a381f120f	NFCORE_MAG:MAG:BUSCO_QC:BUSCO_SUMMARY	COMPLETED	0	2021-07-30 01:51:53.988	1h 4m 9s	2s	165.0%	56.8 MB	4.3 GB	8.3 MB	35.9 KB
202	17/743cb3	3aeeb18c-145b-4649-a592-8913957841b2	NFCORE_MAG:MAG:CAT (MEGAHIT-CAPES_S21-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:02:23.389	3h 31m 50s	2h 39m 19s	633.9%	9.1 GB	13.8 GB	201.4 GB	29.3 GB
270	2c/3a2222	49b85c43-c9e0-44a5-a245-60d5ea8b2e8c	NFCORE_MAG:MAG:CAT (SPAdesHybrid-CAPES_S7-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:02:44.897	3h 58m 8s	2h 48m 16s	622.6%	9.7 GB	14.3 GB	205.2 GB	33 GB
114	11/15d1f3	a1fc5e02-3f10-4442-b160-537520446408	NFCORE_MAG:MAG:CAT (MEGAHIT-CAPES_S7-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:01:33.813	4h 37m 9s	3h 17m 31s	657.7%	9.3 GB	14.1 GB	196.5 GB	24.4 GB
